,org:group,concept:instance,org:resource,concept:name,time:timestamp,lifecycle:transition,case:startdate,case:responsible,case:enddate_planned,case:department,case:group,case:concept:name,case:deadline,case:channel,case:enddate
2140,Group 4,task-2663,Resource07,T02 Check confirmation of receipt,2010-12-02 16:32:38.152000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource07,2011-01-12 00:00:00.010000+01:00,General,,case-4604,2011-01-12 00:00:00+01:00,Internet,2010-12-24 11:08:17.541000+01:00
2141,Group 3,task-2666,Resource07,T04 Determine confirmation of receipt,2010-12-02 16:33:13.669000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource07,2011-01-12 00:00:00.010000+01:00,General,,case-4604,2011-01-12 00:00:00+01:00,Internet,2010-12-24 11:08:17.541000+01:00
2142,Group 2,task-2667,admin1,T05 Print and send confirmation of receipt,2010-12-06 14:36:38.951000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource07,2011-01-12 00:00:00.010000+01:00,General,,case-4604,2011-01-12 00:00:00+01:00,Internet,2010-12-24 11:08:17.541000+01:00
2143,Group 1,task-2665,Resource07,T10 Determine necessity to stop indication,2010-12-07 08:38:07.394000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource07,2011-01-12 00:00:00.010000+01:00,General,,case-4604,2011-01-12 00:00:00+01:00,Internet,2010-12-24 11:08:17.541000+01:00
2144,EMPTY,task-2531,Resource04,Confirmation of receipt,2010-12-07 15:33:40.283000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource04,2011-01-12 00:00:00.010000+01:00,General,,case-4605,2011-01-12 00:00:00+01:00,Internet,2011-02-02 14:42:57.829000+01:00
2145,Group 4,task-3159,Resource04,T02 Check confirmation of receipt,2010-12-07 15:33:55.010000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource04,2011-01-12 00:00:00.010000+01:00,General,,case-4605,2011-01-12 00:00:00+01:00,Internet,2011-02-02 14:42:57.829000+01:00
2146,Group 3,task-3161,Resource10,T04 Determine confirmation of receipt,2010-12-07 17:40:02.396000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource04,2011-01-12 00:00:00.010000+01:00,General,,case-4605,2011-01-12 00:00:00+01:00,Internet,2011-02-02 14:42:57.829000+01:00
2147,Group 2,task-3184,admin1,T05 Print and send confirmation of receipt,2010-12-08 09:42:51.112000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource04,2011-01-12 00:00:00.010000+01:00,General,,case-4605,2011-01-12 00:00:00+01:00,Internet,2011-02-02 14:42:57.829000+01:00
2148,Group 1,task-3160,Resource04,T06 Determine necessity of stop advice,2010-12-08 16:04:09.031000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource04,2011-01-12 00:00:00.010000+01:00,General,,case-4605,2011-01-12 00:00:00+01:00,Internet,2011-02-02 14:42:57.829000+01:00
2149,Group 1,task-3392,Resource04,T10 Determine necessity to stop indication,2010-12-08 16:04:22.644000+01:00,complete,2010-11-17 00:00:00.010000+01:00,Resource04,2011-01-12 00:00:00.010000+01:00,General,,case-4605,2011-01-12 00:00:00+01:00,Internet,2011-02-02 14:42:57.829000+01:00
2150,EMPTY,task-2534,Resource04,Confirmation of receipt,2010-12-17 13:09:03.663000+01:00,complete,2010-11-17 01:06:40.010000+01:00,Resource04,2011-02-21 01:06:40.010000+01:00,General,,case-4608,2011-02-21 01:06:40+01:00,Internet,2011-02-18 12:15:49.689000+01:00
2151,Group 4,task-4912,Resource04,T02 Check confirmation of receipt,2010-12-17 13:09:24.659000+01:00,complete,2010-11-17 01:06:40.010000+01:00,Resource04,2011-02-21 01:06:40.010000+01:00,General,,case-4608,2011-02-21 01:06:40+01:00,Internet,2011-02-18 12:15:49.689000+01:00
2152,Group 3,task-4914,Resource04,T04 Determine confirmation of receipt,2010-12-17 13:09:36.206000+01:00,complete,2010-11-17 01:06:40.010000+01:00,Resource04,2011-02-21 01:06:40.010000+01:00,General,,case-4608,2011-02-21 01:06:40+01:00,Internet,2011-02-18 12:15:49.689000+01:00
2153,Group 1,task-4913,Resource04,T06 Determine necessity of stop advice,2010-12-17 13:09:49.891000+01:00,complete,2010-11-17 01:06:40.010000+01:00,Resource04,2011-02-21 01:06:40.010000+01:00,General,,case-4608,2011-02-21 01:06:40+01:00,Internet,2011-02-18 12:15:49.689000+01:00
2154,Group 1,task-4916,Resource04,T10 Determine necessity to stop indication,2010-12-17 13:10:07.683000+01:00,complete,2010-11-17 01:06:40.010000+01:00,Resource04,2011-02-21 01:06:40.010000+01:00,General,,case-4608,2011-02-21 01:06:40+01:00,Internet,2011-02-18 12:15:49.689000+01:00
2155,Group 2,task-4915,Resource04,T05 Print and send confirmation of receipt,2010-12-20 16:15:26.476000+01:00,complete,2010-11-17 01:06:40.010000+01:00,Resource04,2011-02-21 01:06:40.010000+01:00,General,,case-4608,2011-02-21 01:06:40+01:00,Internet,2011-02-18 12:15:49.689000+01:00
2156,EMPTY,task-2599,Resource08,Confirmation of receipt,2010-12-03 13:48:01.931000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource08,2011-01-13 00:00:00.010000+01:00,General,,case-4619,2011-01-13 00:00:00+01:00,Internet,2011-01-13 12:29:05.367000+01:00
2157,Group 4,task-2722,Resource08,T02 Check confirmation of receipt,2010-12-03 13:48:16.495000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource08,2011-01-13 00:00:00.010000+01:00,General,,case-4619,2011-01-13 00:00:00+01:00,Internet,2011-01-13 12:29:05.367000+01:00
2158,Group 3,task-2724,Resource10,T04 Determine confirmation of receipt,2010-12-03 14:50:01.850000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource08,2011-01-13 00:00:00.010000+01:00,General,,case-4619,2011-01-13 00:00:00+01:00,Internet,2011-01-13 12:29:05.367000+01:00
2159,Group 2,task-2752,admin1,T05 Print and send confirmation of receipt,2010-12-06 14:40:49.307000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource08,2011-01-13 00:00:00.010000+01:00,General,,case-4619,2011-01-13 00:00:00+01:00,Internet,2011-01-13 12:29:05.367000+01:00
2160,Group 1,task-2723,Resource08,T06 Determine necessity of stop advice,2010-12-13 10:37:38.475000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource08,2011-01-13 00:00:00.010000+01:00,General,,case-4619,2011-01-13 00:00:00+01:00,Internet,2011-01-13 12:29:05.367000+01:00
2161,Group 1,task-3801,Resource08,T10 Determine necessity to stop indication,2010-12-13 10:37:55.173000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource08,2011-01-13 00:00:00.010000+01:00,General,,case-4619,2011-01-13 00:00:00+01:00,Internet,2011-01-13 12:29:05.367000+01:00
2162,EMPTY,task-2631,Resource07,Confirmation of receipt,2010-12-07 09:07:53.862000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2163,Group 1,task-3051,Resource07,T06 Determine necessity of stop advice,2010-12-07 09:11:47.505000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2164,Group 1,task-3053,Resource07,T10 Determine necessity to stop indication,2010-12-07 09:23:21.902000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2165,EMPTY,task-3050,Resource19,T02 Check confirmation of receipt,2010-12-07 14:30:37.692000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2166,Group 3,task-3122,Resource10,T04 Determine confirmation of receipt,2010-12-07 16:43:51.518000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2167,Group 2,task-3165,admin1,T05 Print and send confirmation of receipt,2010-12-08 09:38:23.535000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2168,Group 1,task-3057,Resource07,T11 Create document X request unlicensed,2010-12-10 08:11:58.211000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2169,Group 4,task-3525,Resource19,T12 Check document X request unlicensed,2010-12-10 08:46:30.628000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2170,Group 3,task-3540,Resource07,T14 Determine document X request unlicensed,2010-12-10 09:36:37.075000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2171,Group 2,task-3552,Resource07,T15 Print document X request unlicensed,2010-12-10 09:36:47.840000+01:00,complete,2010-11-18 00:00:00.010000+01:00,Resource07,2011-01-13 00:00:00.010000+01:00,General,,case-4623,2011-01-13 00:00:00+01:00,Internet,2010-12-10 09:36:48.051000+01:00
2172,EMPTY,task-2670,Resource07,Confirmation of receipt,2010-12-07 09:49:35.925000+01:00,complete,2010-11-18 01:06:40.010000+01:00,Resource07,2011-01-13 01:06:40.010000+01:00,General,,case-4632,2011-01-13 01:06:40+01:00,Internet,2011-01-10 14:46:35.026000+01:00
2173,Group 1,task-3060,Resource07,T06 Determine necessity of stop advice,2010-12-07 09:50:57.824000+01:00,complete,2010-11-18 01:06:40.010000+01:00,Resource07,2011-01-13 01:06:40.010000+01:00,General,,case-4632,2011-01-13 01:06:40+01:00,Internet,2011-01-10 14:46:35.026000+01:00
2174,Group 1,task-3061,Resource07,T10 Determine necessity to stop indication,2010-12-07 09:52:00.389000+01:00,complete,2010-11-18 01:06:40.010000+01:00,Resource07,2011-01-13 01:06:40.010000+01:00,General,,case-4632,2011-01-13 01:06:40+01:00,Internet,2011-01-10 14:46:35.026000+01:00
2175,EMPTY,task-3059,Resource19,T02 Check confirmation of receipt,2010-12-07 14:31:47.009000+01:00,complete,2010-11-18 01:06:40.010000+01:00,Resource07,2011-01-13 01:06:40.010000+01:00,General,,case-4632,2011-01-13 01:06:40+01:00,Internet,2011-01-10 14:46:35.026000+01:00
2176,Group 3,task-3123,Resource10,T04 Determine confirmation of receipt,2010-12-07 16:24:15.374000+01:00,complete,2010-11-18 01:06:40.010000+01:00,Resource07,2011-01-13 01:06:40.010000+01:00,General,,case-4632,2011-01-13 01:06:40+01:00,Internet,2011-01-10 14:46:35.026000+01:00
2177,Group 2,task-3164,admin1,T05 Print and send confirmation of receipt,2010-12-08 09:37:15.669000+01:00,complete,2010-11-18 01:06:40.010000+01:00,Resource07,2011-01-13 01:06:40.010000+01:00,General,,case-4632,2011-01-13 01:06:40+01:00,Internet,2011-01-10 14:46:35.026000+01:00
2178,EMPTY,task-2671,admin2,Confirmation of receipt,2011-01-19 10:13:09.527000+01:00,complete,2010-10-12 01:06:40.020000+02:00,Resource26,2010-12-07 01:06:40.010000+01:00,General,,case-4633,2010-12-07 01:06:40+01:00,Internet,2011-01-19 10:13:08.646000+01:00
2179,EMPTY,task-2716,Resource01,Confirmation of receipt,2010-12-15 11:52:03.599000+01:00,complete,2010-11-20 00:00:00.010000+01:00,Resource01,2011-01-15 00:00:00.010000+01:00,General,,case-4639,2011-01-15 00:00:00+01:00,Internet,2010-12-27 16:13:22.464000+01:00
2180,Group 4,task-4486,Resource01,T02 Check confirmation of receipt,2010-12-15 11:56:46.605000+01:00,complete,2010-11-20 00:00:00.010000+01:00,Resource01,2011-01-15 00:00:00.010000+01:00,General,,case-4639,2011-01-15 00:00:00+01:00,Internet,2010-12-27 16:13:22.464000+01:00
2181,Group 3,task-4488,Resource01,T04 Determine confirmation of receipt,2010-12-15 11:58:21.887000+01:00,complete,2010-11-20 00:00:00.010000+01:00,Resource01,2011-01-15 00:00:00.010000+01:00,General,,case-4639,2011-01-15 00:00:00+01:00,Internet,2010-12-27 16:13:22.464000+01:00
2182,Group 2,task-4490,Resource01,T05 Print and send confirmation of receipt,2010-12-15 11:59:52.331000+01:00,complete,2010-11-20 00:00:00.010000+01:00,Resource01,2011-01-15 00:00:00.010000+01:00,General,,case-4639,2011-01-15 00:00:00+01:00,Internet,2010-12-27 16:13:22.464000+01:00
2183,Group 1,task-4487,Resource01,T06 Determine necessity of stop advice,2010-12-15 12:00:06.209000+01:00,complete,2010-11-20 00:00:00.010000+01:00,Resource01,2011-01-15 00:00:00.010000+01:00,General,,case-4639,2011-01-15 00:00:00+01:00,Internet,2010-12-27 16:13:22.464000+01:00
2184,Group 1,task-4491,Resource01,T10 Determine necessity to stop indication,2010-12-15 12:00:32.199000+01:00,complete,2010-11-20 00:00:00.010000+01:00,Resource01,2011-01-15 00:00:00.010000+01:00,General,,case-4639,2011-01-15 00:00:00+01:00,Internet,2010-12-27 16:13:22.464000+01:00
2185,EMPTY,task-2733,Resource08,Confirmation of receipt,2010-12-09 15:58:25.494000+01:00,complete,2010-11-21 00:00:00.010000+01:00,Resource08,2011-01-16 00:00:00.010000+01:00,General,,case-4640,2011-01-16 00:00:00+01:00,Internet,2011-01-10 13:18:15.437000+01:00
2186,Group 4,task-3511,Resource08,T02 Check confirmation of receipt,2010-12-09 15:58:39.802000+01:00,complete,2010-11-21 00:00:00.010000+01:00,Resource08,2011-01-16 00:00:00.010000+01:00,General,,case-4640,2011-01-16 00:00:00+01:00,Internet,2011-01-10 13:18:15.437000+01:00
2187,Group 3,task-3513,Resource10,T04 Determine confirmation of receipt,2010-12-10 08:21:44.667000+01:00,complete,2010-11-21 00:00:00.010000+01:00,Resource08,2011-01-16 00:00:00.010000+01:00,General,,case-4640,2011-01-16 00:00:00+01:00,Internet,2011-01-10 13:18:15.437000+01:00
2188,Group 2,task-3533,admin1,T05 Print and send confirmation of receipt,2010-12-10 14:03:12.340000+01:00,complete,2010-11-21 00:00:00.010000+01:00,Resource08,2011-01-16 00:00:00.010000+01:00,General,,case-4640,2011-01-16 00:00:00+01:00,Internet,2011-01-10 13:18:15.437000+01:00
2189,Group 1,task-3512,Resource08,T06 Determine necessity of stop advice,2010-12-13 13:29:35.449000+01:00,complete,2010-11-21 00:00:00.010000+01:00,Resource08,2011-01-16 00:00:00.010000+01:00,General,,case-4640,2011-01-16 00:00:00+01:00,Internet,2011-01-10 13:18:15.437000+01:00
2190,Group 1,task-3950,Resource08,T10 Determine necessity to stop indication,2010-12-14 09:32:26.216000+01:00,complete,2010-11-21 00:00:00.010000+01:00,Resource08,2011-01-16 00:00:00.010000+01:00,General,,case-4640,2011-01-16 00:00:00+01:00,Internet,2011-01-10 13:18:15.437000+01:00
2191,EMPTY,task-2750,Resource07,Confirmation of receipt,2010-12-10 15:58:10.790000+01:00,complete,2010-11-22 00:00:00.010000+01:00,Resource07,2011-01-17 00:00:00.010000+01:00,General,,case-4641,2011-01-17 00:00:00+01:00,Internet,2010-12-27 16:24:10.172000+01:00
2192,Group 1,task-3695,Resource07,T06 Determine necessity of stop advice,2010-12-10 15:59:33.005000+01:00,complete,2010-11-22 00:00:00.010000+01:00,Resource07,2011-01-17 00:00:00.010000+01:00,General,,case-4641,2011-01-17 00:00:00+01:00,Internet,2010-12-27 16:24:10.172000+01:00
2193,EMPTY,task-3694,Resource19,T02 Check confirmation of receipt,2010-12-10 16:02:14.805000+01:00,complete,2010-11-22 00:00:00.010000+01:00,Resource07,2011-01-17 00:00:00.010000+01:00,General,,case-4641,2011-01-17 00:00:00+01:00,Internet,2010-12-27 16:24:10.172000+01:00
2194,Group 1,task-3696,Resource07,T10 Determine necessity to stop indication,2010-12-10 16:03:45.699000+01:00,complete,2010-11-22 00:00:00.010000+01:00,Resource07,2011-01-17 00:00:00.010000+01:00,General,,case-4641,2011-01-17 00:00:00+01:00,Internet,2010-12-27 16:24:10.172000+01:00
2195,Group 3,task-3697,Resource07,T04 Determine confirmation of receipt,2010-12-10 16:06:24.227000+01:00,complete,2010-11-22 00:00:00.010000+01:00,Resource07,2011-01-17 00:00:00.010000+01:00,General,,case-4641,2011-01-17 00:00:00+01:00,Internet,2010-12-27 16:24:10.172000+01:00
2196,Group 2,task-3701,Resource07,T05 Print and send confirmation of receipt,2010-12-10 16:06:34.697000+01:00,complete,2010-11-22 00:00:00.010000+01:00,Resource07,2011-01-17 00:00:00.010000+01:00,General,,case-4641,2011-01-17 00:00:00+01:00,Internet,2010-12-27 16:24:10.172000+01:00
2197,EMPTY,task-2956,Resource15,Confirmation of receipt,2010-12-10 09:06:10.530000+01:00,complete,2010-11-19 01:06:40.010000+01:00,Resource15,2011-01-14 01:06:40.010000+01:00,General,,case-4653,2011-01-14 01:06:40+01:00,Internet,2011-01-17 16:42:46.600000+01:00
2198,Group 4,task-3541,Resource15,T02 Check confirmation of receipt,2010-12-10 09:06:28.682000+01:00,complete,2010-11-19 01:06:40.010000+01:00,Resource15,2011-01-14 01:06:40.010000+01:00,General,,case-4653,2011-01-14 01:06:40+01:00,Internet,2011-01-17 16:42:46.600000+01:00
2199,Group 3,task-3543,Resource15,T04 Determine confirmation of receipt,2010-12-10 09:06:42.567000+01:00,complete,2010-11-19 01:06:40.010000+01:00,Resource15,2011-01-14 01:06:40.010000+01:00,General,,case-4653,2011-01-14 01:06:40+01:00,Internet,2011-01-17 16:42:46.600000+01:00
2200,Group 1,task-3542,Resource15,T06 Determine necessity of stop advice,2010-12-10 09:17:46.605000+01:00,complete,2010-11-19 01:06:40.010000+01:00,Resource15,2011-01-14 01:06:40.010000+01:00,General,,case-4653,2011-01-14 01:06:40+01:00,Internet,2011-01-17 16:42:46.600000+01:00
2201,Group 1,task-3546,Resource15,T10 Determine necessity to stop indication,2010-12-10 09:19:16.776000+01:00,complete,2010-11-19 01:06:40.010000+01:00,Resource15,2011-01-14 01:06:40.010000+01:00,General,,case-4653,2011-01-14 01:06:40+01:00,Internet,2011-01-17 16:42:46.600000+01:00
2202,Group 2,task-3544,admin1,T05 Print and send confirmation of receipt,2010-12-10 14:07:31.101000+01:00,complete,2010-11-19 01:06:40.010000+01:00,Resource15,2011-01-14 01:06:40.010000+01:00,General,,case-4653,2011-01-14 01:06:40+01:00,Internet,2011-01-17 16:42:46.600000+01:00
2203,EMPTY,task-2994,Resource15,Confirmation of receipt,2010-12-10 10:56:54.593000+01:00,complete,2010-11-22 01:06:40.010000+01:00,Resource15,2011-01-17 01:06:40.010000+01:00,General,,case-4654,2011-01-17 01:06:40+01:00,Internet,2011-01-14 15:44:16.899000+01:00
2204,Group 1,task-3588,Resource15,T06 Determine necessity of stop advice,2010-12-10 10:57:14.025000+01:00,complete,2010-11-22 01:06:40.010000+01:00,Resource15,2011-01-17 01:06:40.010000+01:00,General,,case-4654,2011-01-17 01:06:40+01:00,Internet,2011-01-14 15:44:16.899000+01:00
2205,Group 4,task-3587,Resource15,T02 Check confirmation of receipt,2010-12-10 10:58:30.167000+01:00,complete,2010-11-22 01:06:40.010000+01:00,Resource15,2011-01-17 01:06:40.010000+01:00,General,,case-4654,2011-01-17 01:06:40+01:00,Internet,2011-01-14 15:44:16.899000+01:00
2206,Group 3,task-3590,Resource15,T04 Determine confirmation of receipt,2010-12-10 10:58:44.669000+01:00,complete,2010-11-22 01:06:40.010000+01:00,Resource15,2011-01-17 01:06:40.010000+01:00,General,,case-4654,2011-01-17 01:06:40+01:00,Internet,2011-01-14 15:44:16.899000+01:00
2207,Group 1,task-3589,Resource15,T10 Determine necessity to stop indication,2010-12-10 10:59:02.440000+01:00,complete,2010-11-22 01:06:40.010000+01:00,Resource15,2011-01-17 01:06:40.010000+01:00,General,,case-4654,2011-01-17 01:06:40+01:00,Internet,2011-01-14 15:44:16.899000+01:00
2208,Group 2,task-3591,admin1,T05 Print and send confirmation of receipt,2010-12-10 14:11:06.185000+01:00,complete,2010-11-22 01:06:40.010000+01:00,Resource15,2011-01-17 01:06:40.010000+01:00,General,,case-4654,2011-01-17 01:06:40+01:00,Internet,2011-01-14 15:44:16.899000+01:00
2209,EMPTY,task-3017,Resource17,Confirmation of receipt,2010-12-14 15:42:36.276000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource17,2011-03-14 01:06:40.010000+01:00,General,,case-4656,2011-03-14 01:06:40+01:00,Internet,2011-02-23 00:00:00.010000+01:00
2210,EMPTY,task-4255,Resource17,T02 Check confirmation of receipt,2010-12-14 15:43:12.701000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource17,2011-03-14 01:06:40.010000+01:00,General,,case-4656,2011-03-14 01:06:40+01:00,Internet,2011-02-23 00:00:00.010000+01:00
2211,Group 1,task-4256,Resource17,T06 Determine necessity of stop advice,2010-12-14 15:43:41.072000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource17,2011-03-14 01:06:40.010000+01:00,General,,case-4656,2011-03-14 01:06:40+01:00,Internet,2011-02-23 00:00:00.010000+01:00
2212,EMPTY,task-4257,Resource17,T04 Determine confirmation of receipt,2010-12-14 15:44:42.533000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource17,2011-03-14 01:06:40.010000+01:00,General,,case-4656,2011-03-14 01:06:40+01:00,Internet,2011-02-23 00:00:00.010000+01:00
2213,Group 1,task-4258,Resource17,T10 Determine necessity to stop indication,2010-12-14 15:45:04.757000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource17,2011-03-14 01:06:40.010000+01:00,General,,case-4656,2011-03-14 01:06:40+01:00,Internet,2011-02-23 00:00:00.010000+01:00
2214,Group 2,task-4259,admin1,T05 Print and send confirmation of receipt,2010-12-15 08:35:18.185000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource17,2011-03-14 01:06:40.010000+01:00,General,,case-4656,2011-03-14 01:06:40+01:00,Internet,2011-02-23 00:00:00.010000+01:00
2215,EMPTY,task-3134,Resource08,Confirmation of receipt,2010-12-14 12:50:47.719000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource08,2011-01-18 01:06:40.010000+01:00,General,,case-4666,2011-01-18 01:06:40+01:00,Internet,2011-01-18 09:52:21.599000+01:00
2216,Group 4,task-4161,Resource08,T02 Check confirmation of receipt,2010-12-14 12:51:07.579000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource08,2011-01-18 01:06:40.010000+01:00,General,,case-4666,2011-01-18 01:06:40+01:00,Internet,2011-01-18 09:52:21.599000+01:00
2217,Group 3,task-4163,Resource10,T04 Determine confirmation of receipt,2010-12-15 16:47:37.064000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource08,2011-01-18 01:06:40.010000+01:00,General,,case-4666,2011-01-18 01:06:40+01:00,Internet,2011-01-18 09:52:21.599000+01:00
2218,Group 2,task-4610,admin1,T05 Print and send confirmation of receipt,2010-12-17 10:11:54.027000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource08,2011-01-18 01:06:40.010000+01:00,General,,case-4666,2011-01-18 01:06:40+01:00,Internet,2011-01-18 09:52:21.599000+01:00
2219,Group 1,task-4162,Resource08,T06 Determine necessity of stop advice,2011-01-07 14:44:48.678000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource08,2011-01-18 01:06:40.010000+01:00,General,,case-4666,2011-01-18 01:06:40+01:00,Internet,2011-01-18 09:52:21.599000+01:00
2220,Group 1,task-7277,Resource08,T10 Determine necessity to stop indication,2011-01-07 14:45:05.256000+01:00,complete,2010-11-23 01:06:40.010000+01:00,Resource08,2011-01-18 01:06:40.010000+01:00,General,,case-4666,2011-01-18 01:06:40+01:00,Internet,2011-01-18 09:52:21.599000+01:00
2221,EMPTY,task-3156,Resource12,Confirmation of receipt,2010-12-14 10:10:14.666000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2222,EMPTY,task-4083,Resource24,T02 Check confirmation of receipt,2010-12-22 14:09:01.192000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2223,Group 3,task-5462,Resource10,T04 Determine confirmation of receipt,2010-12-22 14:14:47.466000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2224,Group 2,task-5465,admin1,T05 Print and send confirmation of receipt,2010-12-24 10:03:05.766000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2225,Group 1,task-4084,Resource12,T06 Determine necessity of stop advice,2011-01-06 12:21:20.609000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2226,Group 1,task-7049,Resource12,T07-5 Draft intern advice aspect 5,2011-01-06 12:21:55.888000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2227,Group 1,task-7050,Resource12,T06 Determine necessity of stop advice,2011-01-06 12:22:24.200000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2228,Group 1,task-7051,Resource12,T07-5 Draft intern advice aspect 5,2011-01-06 12:22:51.490000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2229,Group 1,task-7052,Resource12,T06 Determine necessity of stop advice,2011-01-06 12:23:38.884000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2230,Group 1,task-7053,Resource12,T10 Determine necessity to stop indication,2011-01-06 12:24:09.724000+01:00,complete,2010-12-06 00:00:00.010000+01:00,Resource12,2011-01-31 00:00:00.010000+01:00,General,,case-4667,2011-01-31 00:00:00+01:00,Internet,2011-01-26 15:10:16.721000+01:00
2231,EMPTY,task-3233,Resource15,Confirmation of receipt,2010-12-10 11:23:33.213000+01:00,complete,2011-01-03 01:06:40.010000+01:00,Resource15,2011-02-28 01:06:40.010000+01:00,General,,case-4677,2011-02-28 01:06:40+01:00,Internet,2011-02-25 09:44:56.521000+01:00
2232,Group 4,task-3604,Resource15,T02 Check confirmation of receipt,2010-12-10 11:23:49.409000+01:00,complete,2011-01-03 01:06:40.010000+01:00,Resource15,2011-02-28 01:06:40.010000+01:00,General,,case-4677,2011-02-28 01:06:40+01:00,Internet,2011-02-25 09:44:56.521000+01:00
